Student_ID,Full_Name,Polling_Station
STU001,Hawa Abdulai,Hostel A Common Room
STU002,Abena Adjei,Library Forecourt
STU003,Abena Sulemana,Library Forecourt
STU004,Aisha Issah,ICT Center
STU005,Ama Boateng,Hostel A Common Room
STU006,Akosua Adjei,Medical School Block
STU007,Abena Mahama,Engineering Block
STU008,Mariam Mahama,Engineering Block
STU009,Kwame Boateng,Hostel B Common Room
STU010,Kofi Issah,Hostel B Common Room
STU011,Kofi Mahama,Science Lab Complex
STU012,Kofi Amankwa,Hostel A Common Room
STU013,Yusif Abdulai,Main Auditorium
STU014,Akosua Yakubu,Hostel A Common Room
STU015,Daniel Mahama,Medical School Block
STU016,Kwame Asante,Library Forecourt
STU017,Daniel Abdulai,Main Auditorium
STU018,Samuel Ansah,Business School
STU019,Akosua Owusu,Science Lab Complex
STU020,Akosua Mahama,Science Lab Complex
STU021,Aisha Ofori,Engineering Block
STU022,Samuel Badu,ICT Center
STU023,Ama Mahama,ICT Center
STU024,Daniel Badu,Hostel B Common Room
STU025,Emmanuel Mahama,Admin Block
STU026,Emmanuel Yakubu,Science Lab Complex
STU027,Kofi Adjei,Science Lab Complex
STU028,Michael Abdulai,Main Auditorium
STU029,Kojo Boateng,Medical School Block
STU030,Zainab Sulemana,Science Lab Complex
STU031,Fatima Ofori,Hostel B Common Room
STU032,Yusif Ansah,Main Auditorium
STU033,Kwame Yakubu,Main Auditorium
STU034,Rahma Badu,Hostel B Common Room
STU035,Kwame Owusu,Main Auditorium
STU036,Fatima Tetteh,Hostel A Common Room
STU037,Yusif Adjei,Hostel B Common Room
STU038,Samuel Badu,ICT Center
STU039,Aisha Yakubu,ICT Center
STU040,Kojo Adjei,Hostel A Common Room
STU041,Samuel Ansah,Hostel A Common Room
STU042,Ibrahim Badu,Business School
STU043,Kwame Mahama,Library Forecourt
STU044,Yusif Asante,Science Lab Complex
STU045,Zainab Abdulai,Engineering Block
STU046,Hawa Asante,Admin Block
STU047,Daniel Tetteh,Main Auditorium
STU048,Michael Issah,Business School
STU049,Yusif Owusu,Hostel B Common Room
STU050,Safiya Ansah,Hostel A Common Room
STU051,Fatima Adjei,Hostel A Common Room
STU052,Akosua Owusu,Medical School Block
STU053,Emmanuel Owusu,Business School
STU054,Yusif Sulemana,Hostel B Common Room
STU055,Daniel Owusu,ICT Center
STU056,Safiya Owusu,Main Auditorium
STU057,Ama Badu,Hostel B Common Room
STU058,Kwame Boateng,Science Lab Complex
STU059,Yaw Ansah,Hostel B Common Room
STU060,Ama Amankwa,ICT Center
STU061,Ibrahim Sulemana,Hostel A Common Room
STU062,Michael Tetteh,Hostel A Common Room
STU063,Kwame Sulemana,Business School
STU064,Kwame Adjei,Library Forecourt
STU065,Yaw Owusu,Medical School Block
STU066,Rahma Ofori,Hostel B Common Room
STU067,Fatima Ofori,Hostel A Common Room
STU068,Daniel Owusu,Science Lab Complex
STU069,Ama Asante,Admin Block
STU070,Yaw Boateng,ICT Center
STU071,Mariam Asante,ICT Center
STU072,Mariam Amankwa,Medical School Block
STU073,Yaw Mahama,Engineering Block
STU074,Kofi Yakubu,Medical School Block
STU075,Samuel Abdulai,Science Lab Complex
STU076,Zainab Tetteh,Admin Block
STU077,Safiya Abdulai,Hostel B Common Room
STU078,Zainab Ofori,ICT Center
STU079,Rahma Ofori,Hostel B Common Room
STU080,Akosua Sulemana,Admin Block
STU081,Akosua Asante,Admin Block
STU082,Samuel Issah,Engineering Block
STU083,Rahma Mahama,Hostel B Common Room
STU084,Mariam Mahama,Hostel A Common Room
STU085,Mariam Badu,Science Lab Complex
STU086,Rahma Issah,Science Lab Complex
STU087,Hawa Issah,Main Auditorium
STU088,Kojo Mahama,Hostel B Common Room
STU089,Hawa Badu,Hostel A Common Room
STU090,Kofi Amankwa,Business School
STU091,Daniel Tetteh,ICT Center
STU092,Aisha Mahama,Medical School Block
STU093,Mariam Badu,Library Forecourt
STU094,Emmanuel Asante,Business School
STU095,Ama Yakubu,Library Forecourt
STU096,Akosua Sulemana,Business School
STU097,Zainab Mensah,Medical School Block
STU098,Ibrahim Amankwa,Hostel B Common Room
STU099,Hawa Asante,Science Lab Complex
STU100,Mariam Badu,Hostel A Common Room
